lat;lon;area;rent;condofee;IPTU;bedrooms
-19.934359;-43.936637;1800;8500;2800;1675;4
-19.949039;-43.919682;311;9000;2252;583;4
-19.940532;-43.923221;207;9000;2199;603;4
-19.828883;-43.951654;950;10000;1130;1;6
-19.976106;-43.94176;2839;8800;2300;1325;4
-19.928578;-43.94557;250;8500;2600;1050;4
-19.941341;-43.920035;272;8250;2850;533;4
-19.976106;-43.94176;223;8800;2300;1250;4
-19.940656;-43.923147;256;11000;0;123;4
-19.953403;-43.927778;1417;8000;3000;680;4
-19.976106;-43.94176;223;8700;2300;1214;4
-19.951847;-43.919402;659;11000;0;913;5
-19.937149;-43.945584;390;11000;0;417;6
-19.973664;-43.937015;1950;8100;2900;1120;4
-19.880905;-43.927212;100;11000;0;100;2
-19.859002;-43.965519;1440;9000;2000;520;4
-19.941341;-43.920035;273;8000;3000;583;4
-19.953531;-43.932439;183;9300;1695;803;4
-19.973905;-43.937584;250;8075;2900;1;3
-19.973697;-43.941358;224;8500;2450;1209;4
-19.973323;-43.940293;225;8500;2450;0;4
-19.973323;-43.940293;224;8500;2450;1209;4
-19.928205;-43.944908;200;9000;1900;134;4
-19.971855;-43.942915;373;7900;2938;759;4
-19.973323;-43.940293;224;8500;2300;1259;4
-19.972758;-43.937005;224;8500;2300;1153;4
-19.961338;-43.918394;999;10800;0;1;6
-19.973323;-43.940293;230;8500;2300;1188;4
-19.973697;-43.941358;230;8500;2300;1000;4
-19.939045;-43.919928;204;8200;2600;0;5
-19.973323;-43.940293;224;8500;2285;1;4
-19.973697;-43.941358;1800;8500;2285;1150;4
-19.928205;-43.94497;250;9000;1750;750;4
-19.937246;-43.95513;150;10000;750;7700;4
-19.929464;-43.944236;1200;9244;1500;0;2
-19.933485;-43.94521;280;8500;2200;860;4
-19.916681;-43.934493;220;9000;1700;302;4
-19.934359;-43.936637;1800;8500;2100;15333;4
-19.929561;-43.946718;400;8000;2500;1450;4
-19.953403;-43.927778;300;7500;3000;650;4
-19.953403;-43.927778;1417;7500;3000;651;3
-19.930936;-43.953831;245;1700000;2500;5890;4
-19.953403;-43.927778;1417;7500;3000;620;3
-19.951452;-43.938514;296;10500;0;300;4
-19.870325;-43.930657;600;10500;0;642;5
-19.937931;-43.942473;373;6500;4000;1018;4
-19.937931;-43.942473;337;6500;4000;990;4
-19.935045;-43.945588;255;9000;1470;970;4
-19.929231;-43.944155;648;9000;1470;820;4
-19.929231;-43.944155;250;9000;1470;900;4
-19.935045;-43.945588;253;9000;1470;934;4
-19.935045;-43.945588;253;9000;1470;934;4
-19.935045;-43.945588;250;9000;1470;875;4
-19.929231;-43.944155;250;9000;1470;970;4
-19.935045;-43.945588;90;9000;1470;900;4
-19.956449;-43.930589;380;8000;2450;203;4
-19.933229;-43.924116;3663;8000;2400;760;4
-19.933229;-43.924116;205;8000;2400;798;4
-19.933229;-43.924116;3663;8000;2400;731;4
-19.933229;-43.924116;204;8000;2396;0;4
-19.933229;-43.924116;3664;8000;2396;798;4
-19.972735;-43.940307;190;7700;2690;1;4
-19.951723;-43.922942;185;8000;2352;879;4
-19.976367;-43.943979;250;7600;2700;1213;4
-19.933327;-43.941406;260;8000;2300;1153;4
-19.972445;-43.939984;190;7800;2500;900;4
-19.976106;-43.94176;223;8000;2300;1300;3
-19.976902;-43.943467;204;7600;2700;1213;4
-19.976106;-43.94176;223;8000;2300;1325;4
-19.933485;-43.94521;1000;8000;2272;848;4
-19.932283;-43.942905;1200;8000;2200;620;4
-19.973595;-43.937289;218;8000;2200;1026;4
-19.928743;-43.946082;280;8000;2150;750;4
-19.976106;-43.94176;223;7800;2300;1250;4
-19.973595;-43.937289;218;10000;10;400;4
-19.973595;-43.937289;220;8000;2000;1027;4
-19.946266;-43.918474;300;7000;3000;1603;4
-19.930223;-43.952011;180;8000;2000;1000;4
-19.973595;-43.937289;220;8000;2000;8000;4
-19.973664;-43.937015;1500;8000;2000;1119;4
-19.937931;-43.942473;373;7000;3000;1018;4
-19.973664;-43.937015;220;8000;2000;8959;4
-19.973595;-43.937289;218;8000;2000;1120;4
-19.973664;-43.937015;220;8000;2000;8959;4
-19.973595;-43.937289;218;8000;2000;1120;4
-19.937931;-43.942473;373;7000;3000;1018;4
-19.973595;-43.937289;220;8000;2000;8000;4
-19.930223;-43.952011;180;8000;2000;1000;4
-19.946266;-43.918474;300;7000;3000;1603;4
-19.973664;-43.937015;1500;8000;2000;1119;4
-19.973664;-43.937015;220;8000;2000;1192;4
-19.973595;-43.937289;220;8000;2000;1120;4
-19.973595;-43.937289;3175;8000;2000;1120;4
-19.973595;-43.937289;220;8000;2000;1120;4
-19.937931;-43.942473;373;6000;4000;926;4
-19.973595;-43.937289;220;8000;2000;1;4
-19.973664;-43.937015;220;8000;2000;1120;4
-19.933631;-43.957773;5000;8000;2000;1200;4
-19.972758;-43.937005;3175;8000;2000;8959;4
-19.973595;-43.937289;220;8000;2000;1120;4
-19.973595;-43.937289;220;8000;2000;1025;4
-19.929231;-43.944155;175;8000;2000;940;4
-19.973664;-43.937015;220;8000;2000;1120;4
-19.973595;-43.937289;220;8000;2000;746;4
-19.973595;-43.937289;220;8000;2000;1120;4
-19.934615;-43.954537;170;8000;1978;759;3
-19.939045;-43.919928;350;6500;3474;937;4
-19.930094;-43.952955;900;9000;880;812;4
-19.973595;-43.937289;3175;7800;2000;120;4
